unit_number,cycle,op1,op2,predicted_RUL,RUL,error,risk_level,sensor_2,sensor_3,sensor_4,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21
1,1,0.0023,0.0003,215.06023,142,-73.06022644042969,Low,643.02,1585.29,1398.21,553.9,2388.04,9050.17,47.2,521.72,2388.03,8125.55,8.4052,392,38.86,23.3735
1,2,-0.0027,-0.0003,234.03745,141,-93.03744506835938,Low,641.71,1588.45,1395.42,554.85,2388.01,9054.42,47.5,522.16,2388.06,8139.62,8.3803,393,39.02,23.3916
1,3,0.0003,0.0001,211.28085,140,-71.28085327148438,Low,642.46,1586.94,1401.34,554.11,2388.05,9056.96,47.5,521.97,2388.03,8130.1,8.4441,393,39.08,23.4166
1,4,0.0042,0.0,200.4535,139,-61.45350646972656,Low,642.44,1584.12,1406.42,554.07,2388.03,9045.29,47.28,521.38,2388.05,8132.9,8.3917,391,39.0,23.3737
1,5,0.0014,0.0,210.02202,138,-72.02201843261719,Low,642.51,1587.19,1401.92,554.16,2388.01,9044.55,47.31,522.15,2388.03,8129.54,8.4031,390,38.99,23.413
1,6,0.0012,0.0003,226.04474,137,-89.04473876953125,Low,642.11,1579.12,1395.13,554.22,2388.0,9050.96,47.26,521.92,2388.08,8127.46,8.4238,392,38.91,23.3467
1,7,-0.0,0.0002,221.39966,136,-85.399658203125,Low,642.11,1583.34,1404.84,553.89,2388.05,9051.39,47.31,522.01,2388.06,8134.97,8.3914,391,38.85,23.3952
1,8,0.0006,-0.0,200.06526,135,-65.06526184082031,Low,642.54,1580.89,1400.89,553.59,2388.05,9052.86,47.21,522.09,2388.06,8125.93,8.4213,393,39.05,23.3224
1,9,-0.0036,0.0,206.42514,134,-72.42514038085938,Low,641.88,1593.29,1412.28,554.49,2388.06,9048.55,47.37,522.03,2388.05,8134.15,8.4353,391,39.1,23.4521
1,10,-0.0025,-0.0001,222.20514,133,-89.20513916015625,Low,642.07,1585.25,1398.64,554.28,2388.04,9051.95,47.14,522.0,2388.06,8134.08,8.4093,391,38.87,23.382
1,11,0.0007,-0.0004,224.06395,132,-92.06394958496094,Low,642.04,1581.03,1403.83,554.69,2388.04,9051.67,47.23,521.95,2388.06,8132.38,8.3919,391,39.06,23.3609
1,12,0.0026,0.0003,206.24352,131,-75.24351501464844,Low,642.54,1587.43,1397.82,554.35,2388.02,9050.02,47.27,522.01,2388.06,8132.33,8.3984,391,39.11,23.3845
1,13,-0.0056,0.0003,213.06429,130,-83.06428527832031,Low,641.94,1589.09,1403.94,554.04,2388.02,9045.67,47.35,522.37,2388.03,8131.12,8.4166,392,39.08,23.3677
1,14,0.0017,-0.0004,201.54832,129,-72.54832458496094,Low,642.23,1583.16,1402.88,554.66,2388.03,9045.3,47.24,521.95,2388.06,8130.3,8.4293,392,39.03,23.4572
1,15,-0.0003,-0.0003,197.72685,128,-69.72685241699219,Low,642.5,1584.81,1398.79,554.15,2388.0,9052.59,47.35,521.38,2388.0,8133.62,8.4163,392,39.04,23.3672
1,16,-0.0018,0.0003,182.49733,127,-55.49732971191406,Low,642.32,1584.51,1407.76,553.82,2388.1,9041.94,47.39,522.16,2388.1,8133.83,8.43,390,38.87,23.3484
1,17,0.0014,0.0002,216.6121,126,-90.61210632324219,Low,642.19,1582.7,1404.12,554.42,2388.06,9045.85,47.27,522.09,2388.02,8126.78,8.4577,391,39.09,23.3409
